epoch,accuracy,loss,precision,recall,val_accuracy,val_loss,val_precision,val_recall
73,0.75024813,1.4025389574599783,0.93439835,0.54576135,0.5587798,2.1922235517274764,0.752809,0.4486607
74,0.7474687,1.4074519927808873,0.9281314,0.53841573,0.55654764,2.2154798677989413,0.7454324,0.45535713
75,0.7532261,1.3989794270633018,0.93591046,0.5479452,0.56324404,2.1777223831131343,0.72430474,0.44568452
76,0.7450864,1.3999426551037466,0.92790073,0.54933494,0.55282736,2.2215793076015653,0.7487805,0.45684522
77,0.749057,1.383478328848917,0.92792493,0.5495334,0.5610119,2.195995467049735,0.7315036,0.45610118
78,0.7540203,1.3826548020257963,0.937247,0.55151874,0.5572917,2.2291762743677412,0.7267157,0.44122022
79,0.74766725,1.386304178809703,0.9269852,0.54695255,0.5483631,2.2132041397548856,0.7227603,0.44419643
80,0.7605718,1.3703882219016563,0.92859524,0.5525114,0.5520833,2.2423836163112094,0.71936274,0.43675596
81,0.75203496,1.3741470011354604,0.9347161,0.54576135,0.5587798,2.2049844719114757,0.71695906,0.45610118
82,0.7601747,1.3677793318420168,0.93333334,0.5586659,0.546875,2.2149762369337536,0.72162485,0.44940478
83,0.7593806,1.367378989322947,0.92949784,0.5548938,0.5535714,2.1927157583690824,0.7244284,0.44791666
84,0.761763,1.3631070997356682,0.9342327,0.5499305,0.5572917,2.197086152576265,0.7243816,0.4575893
85,0.75699824,1.3576218264311677,0.9323703,0.5638277,0.55505955,2.2328875008083524,0.72738236,0.4486607
86,0.758785,1.3498999585654732,0.9369044,0.5660115,0.5654762,2.208071992510841,0.712,0.46354166
87,0.76275563,1.3558547630157645,0.9334217,0.55946,0.54464287,2.209416239034562,0.7187865,0.45833334
88,0.761763,1.3522297174584565,0.93603694,0.56362915,0.55133927,2.237557530403137,0.71882355,0.4546131
89,0.7601747,1.3532081420799795,0.9309103,0.56442326,0.5662202,2.1872773738134477,0.7217695,0.46130952
90,0.7629541,1.3495165104901055,0.9386948,0.5654159,0.55431545,2.2453494242259433,0.7183432,0.4516369
91,0.75977767,1.3574007886587829,0.9345671,0.5614453,0.5595238,2.1704948232287453,0.72845334,0.4590774
92,0.761763,1.344235861374789,0.9345395,0.5640262,0.5625,2.1982614199320474,0.7299528,0.46056548
93,0.7607703,1.3396271631337595,0.927148,0.5634306,0.55431545,2.215012868245443,0.7117853,0.45386904
94,0.7673218,1.3311298931665025,0.93778354,0.57454836,0.5483631,2.243371858483269,0.6960452,0.45833334
95,0.76235855,1.3260846425906188,0.93508995,0.5777248,0.5520833,2.2290579222497486,0.709236,0.4627976
96,0.76752037,1.3269692143206797,0.93640494,0.5729601,0.56473213,2.2106268916811262,0.7192175,0.46502978
97,0.7710939,1.3278253733082284,0.93741894,0.57395273,0.55803573,2.230768953050886,0.7067583,0.4590774
98,0.76970416,1.3116415624157503,0.9297967,0.58109987,0.5595238,2.208242197831472,0.71215594,0.46205357
99,0.77089536,1.3239502720423864,0.93882126,0.581894,0.56994045,2.1887147511754717,0.7285068,0.47916666
100,0.774866,1.3134515985198643,0.9361908,0.57673216,0.56473213,2.1915571973437356,0.71237457,0.47544643
101,0.77327776,1.3113312401988333,0.93782216,0.57792336,0.56994045,2.201045655068897,0.71428573,0.46130952
102,0.77049834,1.316644980707693,0.9341048,0.5769307,0.55505955,2.221073337963649,0.6960452,0.45833334
103,0.774866,1.3072330622959876,0.94128907,0.58566606,0.57068455,2.18720957778749,0.7104377,0.47098213
104,0.771491,1.30570557466783,0.936604,0.58368075,0.57886904,2.1824448080289933,0.7220339,0.47544643
105,0.7776454,1.300209924356791,0.9371464,0.5920191,0.5625,2.220253444853283,0.7118451,0.46502978
106,0.77744687,1.2933651813562366,0.9363118,0.5866587,0.5587798,2.2082118278458003,0.6956522,0.4642857
107,0.7702998,1.3029788514558156,0.93543255,0.5838793,0.56994045,2.189345121383667,0.7017544,0.47619048
108,0.78022635,1.292225744283126,0.93577695,0.59301174,0.56473213,2.199965857324146,0.71049726,0.4784226
109,0.77903515,1.2891685965517008,0.9338765,0.591622,0.5587798,2.2314230856441317,0.71153843,0.46800596
110,0.78022635,1.2832356292339504,0.9429382,0.59380585,0.5677083,2.2388491375105724,0.7128378,0.47098213
111,0.77466744,1.2918585084344698,0.939956,0.5936073,0.56994045,2.213843351318723,0.69709986,0.4828869
112,0.7784395,1.2815404894192446,0.9341001,0.5965853,0.56175596,2.187942448116484,0.7065934,0.4784226
113,0.78677785,1.264498447671352,0.9416692,0.6025412,0.56696427,2.1767548890340898,0.7017167,0.48660713
114,0.79054993,1.2664140004095918,0.93787074,0.59638673,0.56845236,2.2113013863563538,0.70710385,0.48139882
115,0.7808219,1.2658722461488765,0.936124,0.5993647,0.56845236,2.218845259575617,0.6943231,0.4732143
116,0.78935874,1.2665802204871617,0.93670887,0.60234267,0.5677083,2.222877153328487,0.7086093,0.47767857
117,0.7931308,1.2591039838595879,0.94527364,0.60353386,0.5639881,2.2390673132169816,0.70444447,0.47172618
118,0.79015285,1.2685391847306782,0.93730795,0.6055192,0.56175596,2.214676862671262,0.7037037,0.48065478
119,0.78280723,1.2627361130331016,0.9411765,0.59718084,0.56696427,2.2486226558685303,0.70152503,0.47916666
120,0.7861822,1.2606465515220404,0.9467492,0.6071074,0.57886904,2.2042743421736217,0.70190275,0.4940476
121,0.794322,1.2473654365265017,0.9370608,0.60889417,0.57217264,2.2040637192272006,0.7081545,0.49107143
